Age,Gender,Occupation,Budget,Educational Qualifications,Attendees,Pin code,Output,Feedback,
20,Female,Student,No Income,Post Graduate,4,560001,Yes,Positive,Yes
24,Female,Student,Below Rs.10000,Graduate,3,560009,Yes,Positive,Yes
22,Male,Student,Below Rs.10000,Post Graduate,3,560017,Yes,Negative ,Yes
22,Female,Student,No Income,Graduate,6,560019,Yes,Positive,Yes
22,Male,Student,Below Rs.10000,Post Graduate,4,560010,Yes,Positive,Yes
27,Female,Employee,More than 50000,Post Graduate,2,560103,Yes,Positive,Yes
22,Male,Student,No Income,Graduate,3,560009,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,3,560042,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,2,560001,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560048,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,5,560010,Yes,Positive,Yes
23,Male,Student,Below Rs.10000,Post Graduate,2,560009,Yes,Negative ,Yes
23,Male,Student,No Income,Post Graduate,5,560078,Yes,Positive,Yes
21,Male,Student,No Income,Graduate,4,560009,Yes,Positive,Yes
23,Female,Self Employeed,10001 to 25000,Post Graduate,5,560004,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,6,560068,Yes,Positive,Yes
28,Female,Employee,25001 to 50000,Post Graduate,2,560038,Yes,Positive,Yes
23,Female,Student,No Income,Graduate,3,560008,Yes,Negative ,Yes
25,Male,Student,No Income,Graduate,4,560078,Yes,Negative ,Yes
21,Female,Student,Below Rs.10000,Post Graduate,1,560038,Yes,Positive,Yes
24,Male,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,4,560032,Yes,Positive,Yes
22,Female,Student,No Income,Graduate,4,560033,Yes,Positive,Yes
23,Male,Student,No Income,Graduate,4,560021,Yes,Positive,Yes
21,Male,Student,Below Rs.10000,Post Graduate,3,560085,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,3,560008,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,5,560050,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,3,560098,Yes,Positive,Yes
23,Female,Employee,10001 to 25000,Graduate,3,560048,Yes,Positive,Yes
22,Male,Student,Below Rs.10000,Post Graduate,4,560003,Yes,Positive,Yes
22,Female,Employee,10001 to 25000,Graduate,5,560066,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,4,560038,Yes,Positive,Yes
25,Male,Employee,More than 50000,Ph.D,4,560034,Yes,Positive,Yes
22,Female,Student,10001 to 25000,Post Graduate,5,560010,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,2,560102,Yes,Positive,Yes
25,Male,Student,10001 to 25000,Post Graduate,3,560085,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,5,560009,No,Positive,No
32,Female,House wife,No Income,Graduate,5,560008,Yes,Negative ,Yes
23,Female,Student,No Income,Post Graduate,3,560004,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560078,Yes,Positive,Yes
30,Male,Self Employeed,More than 50000,Uneducated,4,560025,Yes,Negative ,Yes
23,Male,Student,No Income,Graduate,3,560026,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,4,560021,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,5,560010,Yes,Positive,Yes
22,Male,Student,No Income,Graduate,5,560010,Yes,Positive,Yes
27,Female,Self Employeed,10001 to 25000,Post Graduate,2,560034,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,2,560009,Yes,Positive,Yes
23,Female,Student,No Income,Graduate,3,560008,Yes,Negative ,Yes
22,Female,Student,10001 to 25000,Post Graduate,5,560010,Yes,Positive,Yes
23,Female,Student,No Income,Graduate,5,560043,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,2,560009,Yes,Positive,Yes
24,Male,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,2,560002,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,3,560085,Yes,Positive,Yes
28,Female,Student,No Income,Graduate,2,560086,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,1,560076,Yes,Positive,Yes
24,Female,Student,No Income,Graduate,3,560009,Yes,Positive,Yes
31,Male,Employee,More than 50000,Ph.D,5,560102,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,4,560086,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,5,560078,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,3,560076,Yes,Positive,Yes
23,Male,Student,25001 to 50000,Post Graduate,1,560096,Yes,Positive,Yes
23,Male,Student,No Income,Graduate,4,560029,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,2,560003,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,6,560046,Yes,Positive,Yes
24,Male,Employee,10001 to 25000,Graduate,4,560030,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560024,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560024,Yes,Positive,Yes
24,Female,Employee,More than 50000,Ph.D,4,560004,Yes,Positive,Yes
22,Male,Student,No Income,Graduate,4,560020,Yes,Positive,Yes
24,Female,Student,10001 to 25000,Post Graduate,3,560028,No,Positive,No
25,Female,Student,No Income,Post Graduate,3,560001,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,2,560076,Yes,Positive,Yes
26,Male,Student,No Income,Post Graduate,4,560003,Yes,Positive,Yes
24,Female,Student,25001 to 50000,Post Graduate,3,560064,Yes,Positive,Yes
26,Male,Student,No Income,Post Graduate,4,560036,Yes,Positive,Yes
21,Male,Student,No Income,Graduate,4,560009,Yes,Positive,Yes
22,Female,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
24,Male,Student,No Income,Post Graduate,5,560011,Yes,Positive,Yes
24,Male,Student,10001 to 25000,Post Graduate,4,560061,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,3,560029,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,3,560004,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,4,560038,Yes,Positive,Yes
24,Male,Student,No Income,Post Graduate,5,560011,Yes,Positive,Yes
25,Male,Student,No Income,Graduate,1,560009,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,5,560009,No,Positive,No
28,Male,Self Employeed,10001 to 25000,Graduate,2,560022,No,Negative ,No
27,Female,Employee,25001 to 50000,Post Graduate,5,560022,No,Positive,No
26,Male,Self Employeed,10001 to 25000,Ph.D,1,560066,No,Positive,No
22,Male,Student,No Income,Post Graduate,2,560009,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,1,560027,Yes,Positive,Yes
25,Male,Student,No Income,Graduate,1,560009,Yes,Positive,Yes
23,Female,Student,No Income,Graduate,5,560043,Yes,Positive,Yes
23,Female,Student,No Income,Graduate,5,560043,Yes,Positive,Yes
26,Male,Employee,25001 to 50000,Graduate,5,560007,No,Positive,No
32,Female,House wife,No Income,Uneducated,3,560012,No,Positive,No
24,Female,Student,10001 to 25000,Post Graduate,3,560028,No,Positive,No
23,Male,Student,No Income,Post Graduate,2,560030,Yes,Positive,Yes
22,Female,Employee,10001 to 25000,Graduate,3,560066,Yes,Positive,Yes
24,Female,Student,No Income,Ph.D,3,560004,Yes,Positive,Yes
26,Male,Employee,25001 to 50000,Graduate,2,560034,Yes,Negative ,Yes
28,Male,Employee,More than 50000,Graduate,3,560066,No,Positive,No
26,Male,Employee,More than 50000,Post Graduate,2,560066,No,Positive,No
25,Male,Student,No Income,Post Graduate,1,560029,Yes,Positive,Yes
25,Male,Employee,Below Rs.10000,Graduate,2,560066,No,Positive,No
18,Male,Student,No Income,Graduate,5,560002,Yes,Positive,Yes
21,Male,Student,No Income,Post Graduate,4,560009,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,1,560029,Yes,Positive,Yes
25,Male,Student,Below Rs.10000,Post Graduate,2,560021,Yes,Positive,Yes
23,Female,Student,No Income,Graduate,5,560043,Yes,Positive,Yes
23,Male,Employee,10001 to 25000,Post Graduate,2,560010,Yes,Positive,Yes
25,Female,Employee,25001 to 50000,Graduate,4,560017,No,Negative ,No
31,Female,House wife,No Income,School,5,560022,Yes,Positive,Yes
24,Male,Self Employeed,More than 50000,Ph.D,2,560006,No,Positive,No
32,Female,Employee,25001 to 50000,Graduate,5,560034,Yes,Positive,Yes
25,Male,Employee,25001 to 50000,Graduate,3,560001,Yes,Positive,Yes
27,Female,Self Employeed,More than 50000,Graduate,5,560001,No,Positive,No
26,Male,Self Employeed,25001 to 50000,Graduate,3,560001,Yes,Positive,Yes
26,Female,Self Employeed,25001 to 50000,Post Graduate,3,560002,Yes,Positive,Yes
32,Male,Employee,More than 50000,Ph.D,5,560002,Yes,Negative ,Yes
24,Male,Self Employeed,More than 50000,Ph.D,6,560002,No,Negative ,No
27,Female,Self Employeed,25001 to 50000,Graduate,3,560002,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
25,Male,Student,No Income,Post Graduate,4,560009,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,3,560009,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560024,Yes,Positive,Yes
28,Male,Employee,More than 50000,Post Graduate,3,560003,Yes,Positive,Yes
32,Female,Employee,More than 50000,Graduate,1,560003,No,Positive,No
23,Male,Student,No Income,Post Graduate,2,560003,Yes,Positive,Yes
19,Male,Student,No Income,Graduate,2,560003,No,Negative ,No
19,Female,Student,No Income,Graduate,4,560047,Yes,Positive,Yes
27,Female,Employee,25001 to 50000,Post Graduate,2,560066,No,Positive,No
25,Male,Self Employeed,25001 to 50000,Graduate,3,560005,Yes,Positive,Yes
33,Male,Employee,More than 50000,Ph.D,5,560005,No,Negative ,No
26,Female,Employee,More than 50000,Graduate,3,560005,Yes,Positive,Yes
22,Female,Student,Below Rs.10000,Post Graduate,4,560029,Yes,Positive,Yes
23,Male,Student,No Income,Post Graduate,3,560064,No,Positive,No
22,Female,Student,No Income,Graduate,3,560096,Yes,Negative ,Yes
25,Male,Employee,25001 to 50000,Graduate,2,560005,Yes,Positive,Yes
30,Female,House wife,No Income,School,5,560005,Yes,Positive,Yes
24,Male,Student,No Income,Post Graduate,3,560006,No,Negative ,No
25,Male,Employee,10001 to 25000,Post Graduate,3,560006,Yes,Positive,Yes
23,Male,Student,More than 50000,Post Graduate,3,560009,Yes,Positive,Yes
24,Female,Student,No Income,Post Graduate,4,560073,Yes,Positive,Yes
32,Male,Employee,10001 to 25000,Graduate,4,560038,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,4,560020,Yes,Positive,Yes
23,Male,Student,More than 50000,Post Graduate,3,560009,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560024,Yes,Positive,Yes
20,Male,Student,No Income,Graduate,2,560007,Yes,Positive,Yes
21,Male,Student,No Income,Graduate,2,560007,Yes,Positive,Yes
24,Female,Self Employeed,10001 to 25000,Graduate,5,560007,Yes,Positive,Yes
23,Female,Student,No Income,Post Graduate,4,560024,Yes,Positive,Yes
25,Male,Employee,25001 to 50000,Post Graduate,3,560010,Yes,Positive,Yes
32,Female,House wife,No Income,Graduate,3,560010,Yes,Positive,Yes
27,Male,Employee,More than 50000,Ph.D,5,560010,No,Negative ,No
20,Female,Student,No Income,Graduate,2,560011,Yes,Positive,Yes
21,Male,Student,No Income,Graduate,2,560011,Yes,Positive,Yes
26,Male,Employee,More than 50000,Post Graduate,3,560011,No,Negative ,No
25,Male,Employee,10001 to 25000,Graduate,4,560016,Yes,Positive,Yes
26,Male,Employee,25001 to 50000,Post Graduate,3,560012,Yes,Positive,Yes
26,Female,Employee,25001 to 50000,Graduate,3,560012,Yes,Positive,Yes
27,Male,Employee,More than 50000,Ph.D,4,560013,No,Positive,No
27,Female,Student,No Income,Ph.D,5,560013,No,Negative ,No
24,Female,Student,No Income,Post Graduate,5,560051,Yes,Positive,Yes
25,Male,Self Employeed,More than 50000,School,2,560015,Yes,Positive,Yes
20,Male,Student,No Income,Graduate,2,560015,No,Negative ,No
22,Male,Student,No Income,Post Graduate,1,560015,Yes,Positive,Yes
26,Female,Student,Below Rs.10000,Ph.D,3,560016,Yes,Positive,Yes
27,Male,Employee,25001 to 50000,Post Graduate,1,560016,Yes,Positive,Yes
25,Female,Student,No Income,Post Graduate,3,560017,Yes,Positive,Yes
24,Male,Employee,Below Rs.10000,Graduate,2,560017,Yes,Positive,Yes
23,Female,Employee,10001 to 25000,Graduate,6,560017,Yes,Positive,Yes
22,Male,Student,No Income,Graduate,2,560018,No,Positive,No
26,Male,Self Employeed,More than 50000,Post Graduate,3,560018,No,Negative ,No
26,Male,Employee,Below Rs.10000,Post Graduate,1,560018,Yes,Negative ,Yes
25,Female,Self Employeed,25001 to 50000,Post Graduate,3,560018,No,Positive,No
29,Female,Employee,More than 50000,Graduate,3,560018,No,Positive,No
23,Male,Student,Below Rs.10000,Graduate,3,560109,Yes,Negative ,Yes
22,Female,Employee,25001 to 50000,Graduate,4,560066,Yes,Positive,Yes
22,Male,Student,No Income,Graduate,2,560020,No,Positive,No
32,Female,House wife,No Income,School,5,560020,Yes,Positive,Yes
28,Male,Employee,More than 50000,Post Graduate,1,560021,Yes,Positive,Yes
22,Male,Student,No Income,Post Graduate,2,560009,Yes,Positive,Yes
25,Male,Employee,10001 to 25000,Graduate,2,560023,Yes,Positive,Yes
26,Female,Employee,25001 to 50000,Post Graduate,2,560023,No,Negative ,No
31,Male,Self Employeed,More than 50000,School,6,560024,Yes,Positive,Yes
24,Male,Student,No Income,Post Graduate,3,560024,No,Negative ,No
24,Male,Employee,25001 to 50000,Post Graduate,2,560025,Yes,Positive,Yes
31,Female,Employee,More than 50000,Ph.D,5,560025,Yes,Positive,Yes
26,Male,Employee,25001 to 50000,Graduate,2,560029,Yes,Positive,Yes
